smiles,n_success_mut,n_failures_mut,penalized_logP,total,obj_computation_time,history_data
C,3,0,-6.692315384615385,-6.692315384615385,0.0010912418365478516,C
CN,2,0,-3.420975611257084,-3.420975611257084,0.0009055137634277344,C|AddA-9
CBr,2,0,-2.4661602266417004,-2.4661602266417004,0.0006818771362304688,C|AddA-9|Sub-15
CC,4,0,-1.7213679189493913,-1.7213679189493913,0.0009188652038574219,C|AddA-8
CCCl,6,0,-1.1362339617119062,-1.1362339617119062,0.0010967254638671875,C|AddA-8|AddA-14
ClCBr,3,0,-1.7120647309426764,-1.7120647309426764,0.0011708736419677734,C|AddA-9|Sub-15|AddA-14
NCN,0,0,-4.043833961711908,-4.043833961711908,0.0007677078247070312,C|AddA-9|AddA-17_MoveFG-20
CCl,1,0,-2.1903986881801605,-2.1903986881801605,0.0009753704071044922,C|AddA-14
CCP,0,0,-3.180944724938956,-3.180944724938956,0.0009653568267822266,C|AddA-8|AddA-14|Sub-20
CC(Cl)CBr,2,0,-1.4469720126482817,-1.4469720126482817,0.0011985301971435547,C|AddA-9|Sub-15|AddA-14|AddA-8_InsA-0
CS,0,0,-3.899429457410929,-3.899429457410929,0.0006163120269775391,C|AddA-8|Sub-13
FCCl,0,0,-2.102133961711906,-2.102133961711906,0.0009510517120361328,C|AddA-14|AddA-11
CC(S)Br,1,0,-2.0565722712334935,-2.0565722712334935,0.0010657310485839844,C|AddA-9|Sub-15|InsA-0_AddA-29
CCS,0,0,-1.8822185770965214,-1.8822185770965214,0.0008301734924316406,C|AddA-8|AddA-14|AddA-21_RmA-2
PC(Cl)CBr,0,0,-3.180975993718385,-3.180975993718385,0.0011262893676757812,C|AddA-9|Sub-15|AddA-14|AddA-8_InsA-0|Sub-28
ClC(Cl)Br,4,0,-1.145326892621827,-1.145326892621827,0.0009701251983642578,C|AddA-9|Sub-15|AddA-14|AddA-14
CP,0,0,-4.253201759099519,-4.253201759099519,0.0007536411285400391,C|AddA-8|Sub-12
CSBr,0,0,-2.2230724232503682,-2.2230724232503682,0.000896453857421875,C|AddA-9|Sub-15|InsA-0_AddA-29|MoveFG-8_CutA-2
CCCCl,4,0,-0.7323999695449033,-0.7323999695449033,0.0010466575622558594,C|AddA-8|AddA-14|InsA-1
CC(Cl)Br,1,0,-1.2939895789258014,-1.2939895789258014,0.0009756088256835938,C|AddA-9|Sub-15|AddA-14|AddA-14|Sub-16
CC(C)Cl,4,0,-0.6523538156987505,-0.6523538156987505,0.0010018348693847656,C|AddA-9|Sub-15|AddA-14|AddA-8_InsA-0|RmA-1
FCBr,0,0,-2.1365339617119066,-2.1365339617119066,0.0008609294891357422,C|AddA-9|Sub-15|AddA-14|Sub-19
CCF,0,0,-1.762280115558061,-1.762280115558061,0.000919342041015625,C|AddA-8|AddA-9_Sub-19
CC(N)F,0,0,-2.6494588096950302,-2.6494588096950302,0.0010764598846435547,C|AddA-9|Sub-15|AddA-14|AddA-8_InsA-0|RmA-1|Sub-19_Sub-9
SCCl,0,0,-2.493133961711906,-2.493133961711906,0.0009808540344238281,C|AddA-8|AddA-14|InsA-1|CutA-3_Sub-13
PCCCCl,0,0,-2.6951693230302074,-2.6951693230302074,0.0011515617370605469,C|AddA-8|AddA-14|InsA-1_AddA-20
ClC(Cl)(Cl)Br,3,0,-0.6421883822883632,-0.6421883822883632,0.0011363029479980469,C|AddA-9|Sub-15|AddA-14|AddA-14|AddA-14
CC(Br)CCl,0,0,-1.462227956704226,-1.462227956704226,0.001123666763305664,C|AddA-9|Sub-15|AddA-14|AddA-14|Sub-16|InsA-2
SC(Cl)(Cl)Br,0,0,-1.3667253053652861,-1.3667253053652861,0.0007741451263427734,C|AddA-9|Sub-15|AddA-14|AddA-14|AddA-14|Sub-29
CC(O)Cl,0,0,-2.3675876558488773,-2.3675876558488773,0.0006818771362304688,C|AddA-9|Sub-15|AddA-14|AddA-8_InsA-0|RmA-1|Sub-18
CCCF,0,0,-1.2151153541602877,-1.2151153541602877,0.0006453990936279297,C|AddA-8|AddA-14|InsA-1|Sub-19
CC(F)Cl,0,0,-1.3598049635411844,-1.3598049635411844,0.0010573863983154297,C|AddA-8|AddA-14|AddA-11
ClC(Cl)CBr,0,0,-1.2381556550156363,-1.2381556550156363,0.00113677978515625,C|AddA-9|Sub-15|AddA-14|AddA-14|InsA-0
SC(Cl)(Cl)Cl,0,0,-1.2316129976729782,-1.2316129976729782,0.0011534690856933594,C|AddA-9|Sub-15|AddA-14|AddA-14|AddA-14|Sub-13
CCC(C)Cl,1,0,-0.8110482364245062,-0.8110482364245062,0.0011582374572753906,C|AddA-9|Sub-15|AddA-14|AddA-8_InsA-0|RmA-1|InsA-1
CCCC,1,0,0.20067695353202097,0.20067695353202097,0.0009417533874511719,C|AddA-8|AddA-14|InsA-1|AddA-32_RmA-2
OCCCl,0,0,-2.462469200314135,-2.462469200314135,0.0010423660278320312,C|AddA-8|AddA-14|AddA-18
NC(Cl)Cl,0,0,-2.327121123391058,-2.327121123391058,0.0010447502136230469,C|AddA-9|Sub-15|AddA-14|AddA-14|Sub-9
CCCN,0,0,-1.652453815698749,-1.652453815698749,0.000957489013671875,C|AddA-8|AddA-14|InsA-1|AddA-32_RmA-2|RmA-3_AddA-17
NC(Cl)(Cl)Br,0,0,-1.9131083822883626,-1.9131083822883626,0.001138925552368164,C|AddA-9|Sub-15|AddA-14|AddA-14|AddA-14|Sub-17
