step,error
0,No more individual to be mutated
1,No more individual to be mutated
2,No more individual to be mutated
3,No more individual to be mutated
25,No improver found
29,No improver found
30,No improver found
33,No improver found
33,No improver found
33,No improver found
34,No improver found
34,No improver found
35,No improver found
35,No improver found
35,No improver found
36,No improver found
36,No improver found
36,No improver found
37,No improver found
37,No improver found
37,No improver found
37,No improver found
38,No improver found
38,No improver found
39,No improver found
39,No improver found
39,No improver found
39,No improver found
39,No improver found
40,No improver found
40,No improver found
41,No improver found
41,No improver found
41,No improver found
41,No improver found
41,No improver found
42,No improver found
42,No improver found
42,No improver found
43,No improver found
43,No improver found
43,No improver found
43,No improver found
43,No improver found
44,No improver found
44,No improver found
44,No improver found
44,No improver found
44,No improver found
44,No improver found
45,No improver found
45,No improver found
45,No improver found
45,No improver found
46,No improver found
46,No improver found
46,No improver found
46,No improver found
46,No improver found
46,No improver found
47,No improver found
47,No improver found
47,No improver found
47,No improver found
47,No improver found
47,No improver found
47,No improver found
47,No improver found
47,No improver found
48,No improver found
48,No improver found
48,No improver found
48,No improver found
49,No improver found
49,No improver found
49,No improver found
49,No improver found
49,No improver found
50,No improver found
50,No improver found
50,No improver found
50,No improver found
51,No improver found
51,No improver found
51,No improver found
51,No improver found
51,No improver found
51,No improver found
51,No improver found
51,No improver found
51,No improver found
51,No improver found
52,No improver found
52,No improver found
52,No improver found
52,No improver found
52,No improver found
53,No improver found
53,No improver found
53,No improver found
53,No improver found
53,No improver found
53,No improver found
53,No improver found
53,No improver found
53,No improver found
54,No improver found
54,No improver found
54,No improver found
54,No improver found
54,No improver found
55,No improver found
55,No improver found
55,No improver found
56,No improver found
56,No improver found
56,No improver found
56,No improver found
56,No improver found
56,No improver found
56,No improver found
57,No improver found
57,No improver found
57,No improver found
57,No improver found
57,No improver found
57,No improver found
57,No improver found
57,No improver found
58,No improver found
58,No improver found
58,No improver found
58,No improver found
58,No improver found
58,No improver found
58,No improver found
58,No improver found
58,No improver found
58,No improver found
59,No improver found
59,No improver found
59,No improver found
59,No improver found
59,No improver found
59,No improver found
59,No improver found
59,No improver found
59,No improver found
60,No improver found
60,No improver found
60,No improver found
60,No improver found
60,No improver found
60,No improver found
60,No improver found
60,No improver found
61,No improver found
61,No improver found
61,No improver found
61,No improver found
61,No improver found
62,No improver found
62,No improver found
62,No improver found
62,No improver found
62,No improver found
62,No improver found
62,No improver found
62,No improver found
62,No improver found
63,No improver found
63,No improver found
63,No improver found
64,No improver found
64,No improver found
64,No improver found
64,No improver found
65,No improver found
65,No improver found
65,No improver found
65,No improver found
65,No improver found
66,No improver found
66,No improver found
66,No improver found
66,No improver found
66,No improver found
67,No improver found
67,No improver found
67,No improver found
67,No improver found
67,No improver found
67,No improver found
67,No improver found
67,No improver found
68,No improver found
68,No improver found
68,No improver found
68,No improver found
68,No improver found
69,No improver found
69,No improver found
69,No improver found
69,No improver found
70,No improver found
70,No improver found
70,No improver found
70,No improver found
70,No improver found
70,No improver found
71,No improver found
71,No improver found
71,No improver found
71,No improver found
72,No improver found
72,No improver found
72,No improver found
72,No improver found
72,No improver found
73,No improver found
73,No improver found
73,No improver found
73,No improver found
73,No improver found
73,No improver found
74,No improver found
74,No improver found
74,No improver found
74,No improver found
74,No improver found
74,No improver found
75,No improver found
76,No improver found
76,No improver found
76,No improver found
